"Number","Title","Year","Runtime","Genre","Ratings","Director","Total.Vote","Rated","Stars.1","Stars.2","Stars.3"
"1,350.","Asrama Dara",1958,119,"Drama",7.9,"Usmar Ismail",34,"13+","Rendra Karno","Bambang Irawan","Bambang Hermanto"
"1,351.","Simfoni Luar Biasa",2011,89,"Family",6.3,"Awi Suryadi",22,"13+","Christian Bautista","Ira Wibowo","Ira Maya Sopha"
"1,352.","Bidadari Mencari Sayap",2020,89,"Drama",7.2,"Aria Kusumadewa",36,"13+","Leony Vitria Hartanti","Rizky Hanggono","Nano Riantiarno"
"1,357.","If This Is My Story",2018,75,"Drama",5.8,"Djenar Maesa Ayu",20,"13+","Kan Lume","Sha Ine Febriyanti","Reza Rahadian"
"1,358.","Gui ji shuang xiong",1976,90,"Action",5.8,"Chang-hwa Jeong",20,"13+","Fun-Ti Ai","Michael Wai-Man Chan","Pei-Shan Chang"
"1,360.","Inikah Rasanya Cinta?",2005,112,"Drama",5.1,"Ai Manaf",10,"13+","Alyssa Soebandono","Gilbert Marciano","Fedi Nuril"
"1,361.","Kadarwati",1983,112,"Drama",6.3,"Sophan Sophiaan",8,"13+","Joice Erna","Frans Tumbuan","Sofia W.D."
"1,362.","Suami yang Menangis",2019,89,"Drama",9,"Farid Ongky",9,"13+","Alvin Faiz","Betari Ayu","Ariyo Wahab"
"1,363.","The Maling Kuburans",2009,90,"Comedy",7.2,"Dwi Ilalang",13,"17+","Indra Birowo","Donita","Heri Savalas"
"1,364.","Love Is A Bird",2019,85,"Drama",2.6,"Richard Oh",11,"17+","Bront Palarae","Gemilang Sinatrya","Ibel Tenny"
"1,365.","Merem Melek",2008,87,"Comedy",2.6,"Nayato Fio Nuala",11,"17+","Miller","Yama Carlos","Cathrine Wilson"
"1,366.","Cinta kembar",1985,87,"Drama",6.7,"Liliek Sudjio",13,"17+","Chintami Atmanegara","Aminah Cendrakasih","Deddy Irama"
"1,367.","Bergola Ijo",1983,97,"Comedy",6.7,"Arizal",13,"17+","Barry Prima","Eva Arnaz","Nasrul"
"1,369.","Dilarang Menyanyi di Kamar Mandi",2019,76,"Comedy",7.1,"John de Rantau",109,"17+","Elvira Devinamira","Mathias Muchus","David John Schaap"
"1,370.","Pengantin remaja",1971,138,"Comedy",7.1,"Wim Umboh",109,"SU","Ariati","Ratih Dardo","W.D. Mochtar"
"1,371.","Cahaya Cinta Pesantren",2016,138,"Comedy",7.1,"Raymond Handaya",109,"SU","Yuki Kato","Febby Rastanty","Vebby Palwinta"
"1,372.","Ca-bau-kan",2002,120,"Drama",7.1,"Nia Di Nata",109,"SU","Ferry Salim","Lola Amaria","Niniek L. Karim"
"1,374.","Wonderful Life",2016,79,"Drama",6.7,"Agus Makkie",8,"SU","Atiqah Hasiholan","Sinyo Riza","Lydia Kandou"
"1,375.","Belkibolang",2011,87,"Drama",5.9,"Edwin",25,"SU","Ifa Isfansyah","Azhar Kinoi Lubis","Rico Marpaung"
"1,376.","Satria Bergitar",1984,120,"Action",6.8,"Nurhadie Irawan",19,"SU","Urip Arpan","Rhoma Irama","W.D. Mochtar"
"1,378.","3 Nafas Likas",2014,120,"Drama",7.5,"Rako Prijanto",35,"SU","Atiqah Hasiholan","Vino G. Bastian","Tutie Kirana"
"1,379.","Danau Hitam",2014,90,"Horror",5.9,"Jose Poernomo",9,"13+","Ganindra Bimo","Nadine Chandrawinata","Maria Selena"
"1,380.","Mengejar Setan",2013,71,"Horror",5.5,"Nayato Fio Nuala",9,"13+","Masayu Anastasia","Munazat Radittya","Yafi Tesa Zahara"
"1,381.","Jack",2019,82,"Comedy",5.5,"Ainun Ridho",9,"13+","Arief Wibhisono","Grace Tie","Eko Tralala"
"1,382.","Capres: Calo Presiden",2009,90,"Comedy",5.5,"Toto Hoedi",9,"13+","Dwi Sasono","Happy Salma","Cathrine Wilson"
"1,383.","Pocong 3",2007,123,"Horror",5.1,"Monty Tiwa",48,"13+","Francine Roosenda","Darius Sinathrya","Gary M. Iskak"
"1,384.","Kuambil Lagi Hatiku",2019,123,"Drama",8.3,"Azhar Kinoi Lubis",6,"13+","Lala Karmela","Cut Mini Theo","Sahil Shah"
"1,385.","Komando Samber Nyawa",1986,95,"Action",4.4,"E.G. Bakker",25,"13+","Barry Prima","Advent Bangun","Dicky Zulkarnaen"
"1,386.","Kamar 207",2014,90,"Horror",5.7,"Chiska Doppert",20,"13+","Nayato Fio Nuala","Dwi A.P.","Jordi Armando"
"1,387.","Strawberry Surprise",2014,85,"Drama",5.7,"Hanny Saputra",20,"13+","Reza Rahadian","Acha Septriasa","Olivia Lubis Jensen"
"1,388.","Labuan Hati",2017,100,"Drama",6.7,"Lola Amaria",14,"17+","Nadine Chandrawinata","Kelly Tandiono","Ully Triani"
"1,389.","Cinta Dalam Sepotong Roti",1992,100,"Drama",6.7,"Garin Nugroho",46,"13+","Adjie Massaid","Monica Oemardi","Tio Pakusadewo"
"1,392.","Me vs. High Heels",2005,118,"Drama",5.1,"Nayato Fio Nuala",19,"13+","Raffi Ahmad","Dwi Andhika","Anggur Aulia"
"1,393.","Surat Cinta Untuk Kartini",2016,118,"Drama",7.9,"Azhar Kinoi Lubis",26,"13+","Chicco Jerikho","Rania Putri Sari","Ence Bagus"
"1,394.","12:06 Rumah Kucing",2017,78,"Horror",3.1,"Chiska Doppert",18,"13+","Nayato Fio Nuala","Masayu Anastasia","Endy Arfian"
"1,395.","Keranda Kuntilanak",2011,83,"Comedy",3.2,"Nayato Fio Nuala",19,"17+","Zacky Zimah","Fiona Fachry","Tifany Jane"
"1,396.","Akibat pergaulan bebas",1977,90,"Adventure",6.3,"Matnoor Tindaon",17,"17+","Doris Callebaute","Roy Marten","Yatti Octavia"
"1,397.","Atas Boleh Bawah Boleh",1986,86,"Adventure",6.3,"H. Tjut Djalil",17,"17+","Dono Warkop","Kasino Warkop","Indro Warkop"
"1,398.","Gantian Dong",1985,85,"Comedy",6.8,"Arizal",43,"17+","Mathias Agus","Chintami Atmanegara","Advent Bangun"
"1,399.","Roman Picisan",2010,85,"Drama",6.2,"Rako Prijanto",14,"17+","Tora Sudiro","Artika Sari Devi","Alex Abbad"
"1,400.","Karena Kamu Cuma Satu",2021,80,"Drama",3.7,"Indra Gunawan",26,"17+","Kevin Ardillova","Ayushita","Heri Cahyono"
"1,401.","Tiren: Mati Kemaren",2008,90,"Horror",3.7,"Emil G. Hampp",26,"17+","Dewi Perssik","Baron Hermanto","Sarah Azhari"
"1,402.","Masih Bukan Cinta Biasa",2011,98,"Drama",7,"Benni Setiawan",22,"17+","Ferdy Taher","Wulan Guritno","Olivia Lubis Jensen"
"1,403.","The Real Pocong",2009,105,"Horror",5.4,"Hanny Saputra",30,"17+","Nabila Syakieb","Ashraf Sinclair","Sakinah Dava Erawan"
"1,405.","Gadis metropolis 2",1995,90,"Drama",3.9,"Bobby Sandy",48,"13+","Inneke Koesherawati","Febby Lawrence","Windy Chindyana"
"1,406.","Terowongan Casablanca",2007,111,"Horror",3.9,"Nanang Istiabudi",48,"13+","Donny Arifin","Ki Joko Bodo","Nino Fernandez"
"1,408.","Terbang: Menembus Langit",2018,111,"Biography",7.3,"Fajar Nugros",66,"13+","Dion Wiyoko","Laura Basuki","Baim Wong"
"1,409.","Goyang Kubur Mandi Darah",2018,95,"Short",7.6,"Azzam Fi Rullah",5,"13+","Tara Ellena","Pucil Nataart","Sigit Pradityo"
"1,410.","Si Roy",1989,95,"Horror",4.4,"Achiel Nasrun",14,"13+","Tisna S. Brata","Margie Dayana","Rossy S. Dradjat"
"1,411.","Roh",2007,105,"Horror",4.4,"Atok Suharto",14,"13+","Angel Bella","Ryan Delon","Zaenal Abidin Domba"
"1,412.","Kabayan Jadi Milyuner",2010,105,"Comedy",5.1,"Guntur Soeharjanto",16,"13+","Jamie Aditya","Meriam Bellina","Rianti Cartwright"
"1,413.","Mendadak Dangdut",2006,102,"Comedy",6.5,"Rudy Soedjarwo",91,"13+","Titi Kamal","Kinaryosih","Dwi Sasono"
"1,414.","Kamulah Satu-Satunya",2007,102,"Comedy",6.3,"Hanung Bramantyo",32,"13+","Nirina Zubir","Dennis Adhiswara","Fanny Fadillah"
"1,416.","Gasing Tengkorak",2017,80,"Horror",4.8,"Jose Poernomo",73,"13+","Nikita Willy","Rendy Khrisna","Voke Victoria"
"1,417.","Get M4rried",2013,112,"Comedy",7,"Monty Tiwa",48,"13+","Nirina Zubir","Nino Fernandez","Aming Sugandhi"
"1,418.","Pesantren Impian",2016,106,"Drama",5.5,"Ifa Isfansyah",17,"13+","Prisia Nasution","Fachry Albar","Dinda Kanyadewi"
"1,419.","Pergaulan metropolis",1994,106,"Drama",5.6,"H. Tjut Djalil",76,"13+","Inneke Koesherawati","Malfin Shayna","Ferry Tanjung"
"1,420.","Siti Bling Bling",2014,106,"Action",5.6,"Pierre Gruno",76,"13+","Tio Pakusadewo","Mikha Tambayong","Gunawan Sudrajat"
"1,421.","Social Fake",2021,106,"Drama",5.6,"Zikri Daulay",76,"13+","Elina Joerg","Dewi Amanda",""
"1,422.","Dealova",2005,106,"Comedy",5.6,"Dian Sasmita Faisal",76,"13+","Ali Budimasnyah","Julie Estelle","Rizky Hanggono"
"1,423.","Tiga Gadis Pilihan",1989,84,"Action",7.1,"Jopi Burnama",35,"13+","Sally Marcellina","Karen Sukarno","Anna Shirley"
"1,426.","Pelukan Janda Hantu Gerondong",2011,86,"Horror",4,"Helfi C.H. Kardit",22,"13+","Indah Kalalo","Aida Saskia","Shidiq Hamidi"
"1,427.","Lukisan Berlumur Darah",1988,86,"Horror",5.7,"Torro Margens",11,"13+","Tiara Jacquelina","Dharma Harun Al-Rashid","Yurike Prastica"
"1,428.","Banyu Biru",2005,78,"Drama",6.3,"Teddy Soeriaatmadja",134,"13+","Tora Sudiro","Dian Sastrowardoyo","Slamet Rahardjo"
"1,429.","Berangkat!",2017,94,"Adventure",7.2,"Naya Anindita",22,"13+","Tarra Budiman","Ayushita","Ringgo Agus Rahman"
"1,430.","Pemburu Hantu: The Movie",2010,81,"Horror",5.1,"Alamsyah",13,"13+","Poppy Bunga","Farah Hatim","Putri Arifanti"
"1,431.","Adriana",2013,107,"Drama",5.5,"Fajar Nugros",15,"13+","Eva Celia Latjuba","Adipati Dolken","Kevin Julio"
"1,432.","Tuyul",1979,140,"Horror",5.5,"Bay Isbahi",15,"13+","M. Pandji Anom","Hamid Arief","Idjah Bomber"
"1,433.","Pagar Kawat Berduri",1961,140,"Drama",7.2,"Asrul Sani",9,"13+","Wahab Abdi","Soekarno M. Noer","Ismed M. Noor"
"1,436.","Ruma Maida",2009,90,"Drama",7.5,"Teddy Soeriaatmadja",28,"13+","Atiqah Hasiholan","Yama Carlos","Verdi Solaiman"
"1,439.","Mata Tertutup",2012,90,"Drama",6.2,"Garin Nugroho",45,"17+","Eka Nusa Pertiwi","Jajang C. Noer","M. Dinu Imansyah"
"1,440.","Gending Sriwijaya",2013,134,"Action",6.3,"Hanung Bramantyo",37,"17+","Sugeng Wahyudi","Sahrul Gunawan","Agus Kuncoro"
"1,441.","Flutter Echoes and Notes Concerning Nature",2016,80,"Action",5.8,"Amir Pohan",9,"17+","Putri Ayudya","Ismail Basbeth","Tara Basro"
"1,442.","Si djampang mentjari naga hitam",1969,114,"Action",5.8,"Liliek Sudjio",9,"17+","H.I.M. Damsyik","Sandy Suwardi Hasan","Moh Mochtar"
"1,443.","Honeymoon",2013,114,"Comedy",5.8,"Findo Purwono",9,"17+","Shireen Sungkar","Fathir Muchtar","Nino Fernandez"
"1,444.","Rayuan Arwah Penasaran",2010,90,"Horror",4.3,"Ferry Ipey Assad",14,"13+","Dimaz Andrean","Rahma Azhari","Artis Jepang"
"1,445.","Mana Bisa Tahan",1990,85,"Comedy",6.7,"Arizal",27,"13+","Zainal Abidin","Nurul Arifin","Diding Boneng"
"1,447.","Bintang Kejora",1986,88,"Comedy",8.2,"Chaerul Umam",10,"13+","El Manik","Ikranagara","Mang Udel"
"1,450.","Aandhali Koshimbir",2014,148,"Comedy",6,"Aditya Ingale",10,"13+","Priya Bapat","Mrunmayee Deshpande","Kaluram Dhobale"
"1,451.","LDR 2: Where Is My Romeo",2015,82,"Drama",6.5,"Guntur Soeharjanto",8,"13+","Verrell Bramasta","Mentari De Marelle","Al Ghazali"
"1,452.","Mooncake Story",2017,94,"Drama",6.4,"Garin Nugroho",16,"13+","Aldo Swastia","Dominique Agisca Diyose","Bunga Citra Lestari"
"1,453.","Coblos Cinta",2008,90,"Comedy",3.4,"Findo Purwono",10,"13+","Nadia Saphira","Tommy Kurniawan","Jessica Iskandar"
"1,454.","Pocong Jumat Kliwon",2010,77,"Comedy",3,"Nayato Fio Nuala",20,"13+","Arumy Bachsin","Sazha Carissa","Dana Cole"
"1,456.","Balada Tiga Jagoan",1990,75,"Action",6.4,"Imam Putra Piliang",12,"13+","Eka Aprilyana","Irmawati","Ziela Jalil"
"1,457.","Cewek Jagoan Beraksi Kembali",1981,88,"Action",6.4,"Danu Umbara",12,"13+","Debbie Cinthya Dewi","Dana Christina","Eva Arnaz"
"1,458.","Ira Maya Putri Cinderella",1981,97,"Comedy",5.8,"Willy Wilianto",6,"13+","Ira Maya Sopha","Dorman Borisman","Maya Dewi"
"1,460.","Suami-Suami Takut Istri",2007,84,"Comedy",5.8,"Ki Daus",6,"13+","Aty Fathiyah","Otis Pamutih","Yanda Djaitov"
"1,461.","Bila",2012,84,"Drama",5.3,"Nayato Fio Nuala",12,"13+","Shalvynne","Stefan William","Karina Meita"
"1,462.","Tealight",2018,122,"Drama",6.9,"Gemadipada",138,"13+","Donny Alamsyah","Sheryl Sheinafia","Ricky Harun"
"1,463.","Hari Ini Pasti Menang",2013,122,"Action",6.9,"Andibachtiar Yusuf",138,"13+","Zendhy Zain","Mathias Muchus","Ray Sahetapy"
"1,464.","Will",2021,101,"Drama",7,"Anggy Umbara",9,"13+","Bounty Umbara","Morgan Oey","Anggika Bolsterli"
"1,465.","Kisah Nyata Kereta Setan Manggarai",2009,90,"Horror",4,"Nanang Istiabudi",27,"D","Ferry Gustian","Vera Lasut","Ocke Mulyawan R."
"1,466.","Cinderella: Apakah Cinta Hanya Mimpi?",2007,78,"Drama",5.6,"Cinta Laura Kiehl",10,"D","","",""
"1,468.","SKJ: Seleb Kota Jogja",2010,78,"Comedy",6.8,"Lakonde",38,"D","Bagus","Fandy Christian","Fandi"
"1,469.","Cin(T)a",2009,78,"Drama",7.2,"Sammaria Simanjuntak",229,"D","Sahat Gultom","Saira Jihan","Sunny Soon"
"1,470.","Gue Kapok Jatuh Cinta",2006,110,"Comedy",4.5,"Thomas Nawilis",13,"D","Awi Suryadi","Oka Antara","Big Dicky"
"1,471.","Bibir Mer",1992,95,"Comedy",6.5,"Arifin C. Noer",13,"D","Bella Esperance","Fadli","Galeb Husein"
"1,472.","Kesempatan Dalam Kesempitan",1985,92,"Comedy",6.9,"Arizal",39,"13+","Mathias Agus","Lina Budiarty","Tony Damanik"
"1,474.","Jejak Cinta",2018,100,"Drama",4.5,"Tarmizi Abka",15,"13+","Baim Wong","Prisia Nasution","Zora Vidyanata"
"1,475.","Nakalnya Anak Muda",2010,75,"Horror",4.5,"Nayato Fio Nuala",15,"SU","Uli Auliani","Ratu Felisha","Rozie Mahally"
"1,476.","Semau gue",1977,91,"Action",7.6,"Arizal",6,"SU","Jenny Rachman","Rano Karno","Yessy Gusman"
"1,478.","Cinta Tapi Beda",2012,95,"Drama",6.8,"Hanung Bramantyo",39,"SU","Hestu Saputra","Ratu Felisha","Nungki Kusumastuti"
"1,480.","Misteri wanita berdarah dingin",1992,73,"Drama",7.3,"S.A. Karim",8,"SU","Fay Tobing","Malfin Shayna","Reynaldi"
"1,484.","London Virginia",2010,95,"Comedy",8.1,"Cheverly Amalia",10,"SU","Allo Geaffary","Cheverly Amalia","Abdurrahman Arif"
"1,486.","Liar",2008,97,"Drama",4.6,"Rudy Soedjarwo",15,"SU","Raffi Ahmad","Irgi Fahrezi","Intan Nuraini"
"1,487.","Elegi Buat Nana",1988,97,"Drama",6.3,"Achiel Nasrun",7,"SU","Ria Irawan","Cornelia Agatha","R. Adi Bagus"
"1,488.","Selir adipati gendra sakti",1991,68,"Comedy",3.6,"H. Tjut Djalil",14,"SU","Lela Anggraini","Jack Maland","Mandra"
"1,489.","Putih Abu Abu 2",2013,68,"Comedy",3.6,"Eza Giunino",14,"SU","Olivia Lubis Jensen","Febby Rastanty",""
"1,490.","Di Sini Ada Yang Mati",2013,68,"Crime",3.6,"Nayato Fio Nuala",14,"SU","Stuart Collin","Donita","Garneta Haruni"
"1,491.","Rumah Hantu Pasar Malam",2012,74,"Horror",3.6,"Arie Azis",14,"SU","Rebecca Reijman","Uli Auliani","Amel Alvie"
"1,492.","Remember When",2014,90,"Drama",6.3,"Fajar Bustomi",43,"SU","Michelle Ziudith","Maxime Bouttier","Stella Cornelia"
"1,494.","Di balik pelukan laki laki",1995,89,"Drama",6.3,"Abdul Razak",7,"SU","Lela Anggraini","Windy Chindyana","Ayu Lestari"
"1,495.","Godain Kita Dong",1989,89,"Comedy",7.1,"Hadi Poernomo",12,"SU","Dono Warkop","Kasino Warkop","Indro Warkop"
"1,496.","Pizza Man",2015,90,"Action",6.4,"Ceppy Gober",17,"SU","Joanna Alexandra","Yuki Kato","Karina Nadila"
"1,497.","Kambing Jantan",2009,118,"Comedy",5.6,"Rudy Soedjarwo",214,"17+","Raditya Dika","Meity Josefina","Anggi Nasution"
"1,498.","Si Boneka Kayu, Pinokio",1979,93,"Comedy",5.6,"Willy Wilianto",9,"17+","Iskak","Ateng","Bobby Alatas"
"1,499.","Let's Play, Ghost",2013,107,"Horror",4.5,"Damien Dematra",14,"17+","Virda Anggraini","Aditya Antika","Kayla Attila"
"1,500.","Setannya Kok Masih Ada",2011,83,"Comedy",4.5,"Muchyar Syamas",14,"17+","Deddy Mahendra Desta","Zacky Zimah","Ardani"
"1,501.","#MoveOnAja",2019,81,"Comedy",6,"Hestu Saputra",16,"17+","Marthino Lio","Asmara Abigail","Uus"
"1,502.","Cinta Pertama",1973,110,"Romance",7.5,"Teguh Karya",13,"SU","Ully Artha","Ardi H.S.","Christine Hakim"
"1,503.","Air Mata Kekasih",1971,90,"Drama",3.5,"Liliek Sudjio",28,"SU","Farouk Afero","A.N. Alcaff","S. Bono"
"1,504.","Kutukan Suster Ngesot",2009,90,"Horror",3.5,"David Purnomo",28,"SU","Rustam Anwar","Celine Evangelista","Fanny Ghassani"
"1,508.","Not for Sale",2010,85,"Drama",4,"Nayato Fio Nuala",12,"SU","Chindy Anggrina","Arumy Bachsin","Okkie Callerista"
"1,509.","Jinx",2010,100,"Comedy",3,"Muhammad Yusuf",9,"SU","H.I.M. Damsyik","Dj Devina","Fairly"
"1,510.","Catatan Si Boy 5",1991,88,"Drama",6.1,"Nasri Cheppy",16,"SU","Onky Alexander","Didi Petet","Paramitha Rusady"
"1,512.","My Journey: Mencari Mata Air",2016,95,"Adventure",9.4,"Joko Nugroho",20,"SU","Btari Chinta","Christopher V. Warren","Cindy Celine"
"1,514.","Catatan Si Boy 3",1990,90,"Drama",6.4,"Nasri Cheppy",24,"SU","Onky Alexander","Meriam Bellina","Bella Esperance"
"1,515.","Hari Untuk Amanda",2010,85,"Drama",7.7,"Angga Dwimas Sasongko",99,"SU","Oka Antara","Fanny Fabriana","Reza Rahadian"
"1,516.","Si Kabayan Mencari Jodoh",1994,85,"Comedy",4.7,"Maman Firmansyah",7,"SU","Didi Petet","Novi Gawatini","Rachmat Hidayat"
"1,517.","Hello Goodbye",2012,110,"Drama",7,"Titien Wattimena",23,"SU","Atiqah Hasiholan","Rio Dewanto","Verdi Solaiman"
"1,518.","Rayya, Cahaya di Atas Cahaya",2012,100,"Drama",7.8,"Viva Westi",45,"SU","Tio Pakusadewo","Titi Rajo Bintang","Verdi Solaiman"
"1,519.","Syahadat Cinta",2008,117,"Drama",8,"Gunawan Paggaru",14,"SU","Ahmad Affandy","Ratu Annisa","Minati Atmanegara"
"1,520.","9 Summers 10 Autumns",2013,117,"Biography",8.3,"Ifa Isfansyah",66,"SU","Agni P. Arkadewi","Ence Bagus","Hayria Faturrahman"
"1,521.","Jamila dan Sang Presiden",2009,87,"Drama",6.7,"Ratna Sarumpaet",54,"SU","Atiqah Hasiholan","Christine Hakim","Fauzi Baadila"
"1,523.","Iqro: My Universe",2019,101,"Drama",6.4,"Iqbal Alfajri",12,"SU","Aisha Nurra Datau","Cok Simbara","Raihan Khan"
"1,524.","Mas Suka Masukin Aja",2008,90,"Comedy",2.1,"Rully Manna",11,"SU","Olga Syahputra","Dorce Gamalama","Adul"
"1,525.","Suka-Suka Super 7: Habis Gelap Menuju Terang",2014,90,"Drama",8.8,"Geri Busye",20,"SU","Muhammad Fazzil Alditto","Bagas Dwi Rizqi Hidayat","Bryan Domani"
"1,527.","Cinlok",2008,90,"Comedy",4.7,"Guntur Soeharjanto",26,"13+","Tora Sudiro","Luna Maya","Tukul Arwana"
"1,528.","Neraca kasih",1982,113,"Drama",7,"Henky Solaiman",31,"17+","Yessy Gusman","Kaharudin Syah","Meriam Bellina"
"1,533.","Pengejar Angin",2011,101,"Drama",7,"Hanung Bramantyo",31,"17+","Hestu Saputra","Giorgino Abraham","Wanda Hamidah"
"1,534.","Lily Bunga Terakhirku",2015,83,"Drama",7.8,"Indra Birowo",16,"17+","Salvita Decorte","Baim Wong","Wulan Guritno"
"1,535.","Taksi",1991,90,"Drama",7.2,"Arifin C. Noer",33,"17+","Meriam Bellina","Dorman Borisman","Rano Karno"
"1,536.","Birahi perempuan halus",1997,71,"Horror",9.7,"Henry Farel L. Tobing",119,"17+","Vera Agustina","Cheppy Chandra","Indah Febrizha"
"1,540.","Djakarta 1966",1982,135,"Drama",6.6,"Arifin C. Noer",10,"17+","Ikranagara","Rahmat Kartolo","Amoroso Katamsi"
"1,541.","Anak Perawan di Sarang Penjamun",1962,127,"Drama",7.3,"Usmar Ismail",12,"17+","Bambang Hermanto","Rachmat Hidayat","Bambang Irawan"
"1,546.","Hantu Jamu Gendong",2009,90,"Horror",3.6,"Nayato Fio Nuala",33,"17+","Julia Perez","Dimas Aditya","Fendi Trihartanto"
"1,548.","Lost in Papua",2011,100,"Adventure",6.2,"Irham Acho Bahtiar",15,"17+","Fanny Fabriana","Fauzi Baadila","Piet Pagau"
"1,550.","Halusinada",2018,90,"Drama",7.1,"Rangga Nattra",30,"17+","Agung Saga","Dayu Wijanto","Edward Akbar"
"1,551.","Ruang",2006,90,"Comedy",7.1,"Teddy Soeriaatmadja",30,"17+","Reggy Lawalata","Luna Maya","Slamet Rahardjo"
"1,552.","Namaku Dick",2008,90,"Comedy",4.5,"Teddy Soeriaatmadja",39,"13+","Tora Sudiro","Marissa Nasution","Slamet Rahardjo"
"1,554.","#BerhentiDiKamu",2021,100,"Drama",5.2,"Indra Gunawan",13,"13+","Roger Danuarta","Cut Meyriska","Salshabilla Adriani"
"1,555.","Surat Untuk Bidadari",1994,118,"Drama",6.5,"Garin Nugroho",49,"13+","Nurul Arifin","Hotalili","Ibrahim Ibnu"
"1,557.","Ajian Ratu Laut Kidul",1991,80,"Drama",6.3,"Sisworo Gautama Putra",26,"13+","Ratu Dhenok","Syarief Friant","Karsiman Gada"
"1,558.","Petualangan Cinta Nyi Blorong",1986,84,"Fantasy",6.1,"Sisworo Gautama Putra",51,"13+","Suzzanna","Advent Bangun","George Rudy"
"1,560.","Puber",2008,92,"Drama",5.9,"Gerhard S. Mali",17,"13+","Andhika Gumilang","Ryana Dea","Rizky Hanggono"
"1,561.","Aladin dan Lampu Wasiat",1982,92,"Action",5.9,"Sisworo Gautama Putra",17,"13+","Pria Bombom","Marlia Hardi","Jack John"
"1,562.","Pembalasan Nini Towok",1982,77,"Horror",3.5,"B.Z. Kadaryono",33,"13+","Farida Pasha","W.D. Mochtar","Joice Erna"
"1,563.","Kung Fu Pocong Perawan",2012,77,"Comedy",3.5,"Yoyok Subagyo",33,"13+","Jessica Iskandar","Olga Syahputra","Daus Mini"
"1,566.","Apa artinya cinta?",2005,134,"Comedy",5.6,"Sunil Soraya",66,"13+","Shandy Aulia","Samuel Rizal","Dimas Beck"
"1,567.","Kain Kafan Perawan",2010,85,"Horror",4.3,"Nayato Fio Nuala",38,"13+","Smitha Anjani","Ratu Felisha","Sarah Jane"
"1,568.","Pencet Sana Pencet Sini",1994,83,"Comedy",6.5,"Arizal",37,"13+","Diding Boneng","Tisna S. Brata","Taffana Dewi"
"1,569.","Malin Kundang",1971,87,"Action",6.8,"D. Djajakusuma",11,"13+","Noor Azizah","M. Budhrasa","Darussalam"
"1,570.","Hukum Karma",1982,87,"Action",4.7,"Jimmy Atmaja",15,"13+","Marisa Haque","Hendra Cipta","Ucok Harahap"
"1,571.","Tuan Tanah Kedawung",1971,92,"Action",6,"Liliek Sudjio",10,"13+","Suzzanna","Farouk Afero","Dicky Suprapto"
"1,572.","Buah Hati Mama",1980,105,"Drama",6,"Sophan Sophiaan",10,"13+","Ryan Hidayat","Ade Irawan","Puput Novel"
"1,573.","Sinar",2010,105,"Romance",6,"Arie Dwi Andhika",10,"13+","Ririn Dwi Aryanti","Irwansyah","Chicco Jerikho"
"1,574.","Taksi 2",1991,105,"Drama",6,"Ismail Soebardjo",10,"13+","Meriam Bellina","Rano Karno","Ayu Azhari"
"1,575.","Panther",1995,83,"Action",8.6,"S.A. Karim",9,"13+","Barry Prima","Malfin Shayna","Mia Miniarti"
"1,577.","Negeri Tanpa Telinga",2014,110,"Drama",8.6,"Lola Amaria",9,"13+","Jenny Chang","Elang El Gibran","Tanta Ginting"
"1,578.","Oma Irama penasaran",1976,100,"Drama",7.2,"A. Harris",15,"13+","Rhoma Irama","Yatti Octavia","Hamid Arief"
"1,579.","Salah Asuhan",1972,98,"Drama",7.2,"Asrul Sani",15,"13+","Fifi Young","Dicky Zulkarnaen","Rima Melati"
"1,581.","Tuyul Eee Ketemu Lagi",1979,114,"Comedy",7.2,"Liliek Sudjio",15,"13+","Ateng","Iskak","Bokir"
"1,582.","Baik-Baik Sayang",2011,95,"Drama",7.2,"Somad Sutedja",15,"13+","Wali Band","Intan Nuraini","Arumy Bachsin"
"1,583.","Perawan Desa",1978,98,"Drama",7.6,"Frank Rorimpandey",53,"13+","Hendra Cipta","Rae Sita","Yatie Surachman"
"1,584.","Dalam Mihrab Cinta",2010,99,"Drama",7.6,"Habiburrahman El Shirazy",53,"13+","Firman Syah","Dude Harlino","Asmirandah"
"1,585.","Perfect Dream",2017,99,"Drama",6.9,"Hestu Saputra",9,"13+","Tissa Biani Azzahra","Wulan Guritno","Olga Lydia"
"1,587.","Best Friend?",2008,99,"Horror",6.8,"Fajar Bustomi",19,"13+","Nikita Willy","Risty Tagor","Oka Antara"
"1,588.","Seruan Setan",2018,99,"Horror",5.4,"Findo Purwono",26,"13+","Salshabilla Adriani","Stefhani Zamora Husen","Rheina Maryana"
"1,589.","Kembang perawan",2009,90,"Comedy",5.4,"Joko Nugroho",26,"13+","Dimas Anggara","Kris Anjar","Ryana Dea"
"1,590.","Taring",2010,90,"Horror",5.4,"Rizal Mantovani",26,"13+","Fahrani","Shinta Bachir","Hendrik Betta"
"1,591.","Hantu Cantik Kok Ngompol",2016,112,"Horror",7.4,"Emil G. Hampp",26,"13+","Sarah Azhari","Nana Mirdad",""
"1,592.","Moonrise Over Egypt",2018,112,"History",7.4,"Pandu Adi Putra",26,"13+","Reza Anugrah","James Dixon","Drh Ganda"
"1,593.","Betapa damai hati kami",1981,97,"Comedy",6.1,"Chaerul Umam",18,"13+","Gina Adriana","Robin Febrary","Pong Harjatmo"
